Consequences	Severity
3_prime_UTR_variant	19
3_prime_UTR_variant,NMD_transcript_variant	19
3_prime_UTR_variant,NMD_transcript_variant,feature_elongation	19
3_prime_UTR_variant,NMD_transcript_variant,feature_truncation	19
3_prime_UTR_variant,feature_elongation	19
3_prime_UTR_variant,feature_truncation	19
3_prime_UTR_variant,intron_variant,NMD_transcript_variant,feature_truncation	19
5_prime_UTR_variant	18
5_prime_UTR_variant,NMD_transcript_variant	18
5_prime_UTR_variant,NMD_transcript_variant,feature_elongation	18
5_prime_UTR_variant,NMD_transcript_variant,feature_truncation	18
5_prime_UTR_variant,feature_elongation	18
5_prime_UTR_variant,feature_truncation	18
5_prime_UTR_variant,intron_variant,NMD_transcript_variant,feature_truncation	18
5_prime_UTR_variant,intron_variant,feature_truncation	18
coding_sequence_variant	16
coding_sequence_variant,3_prime_UTR_variant,feature_truncation	16
coding_sequence_variant,feature_elongation	16
coding_sequence_variant,intron_variant,feature_truncation	16
coding_sequence_variant,feature_truncation	16
downstream_gene_variant	25
downstream_gene_variant,feature_elongation	25
frameshift_variant,NMD_transcript_variant,feature_elongation	5
frameshift_variant,NMD_transcript_variant,feature_truncation	5
frameshift_variant,feature_elongation	5
frameshift_variant,feature_truncation	5
frameshift_variant,splice_region_variant,NMD_transcript_variant,feature_elongation	5
frameshift_variant,splice_region_variant,NMD_transcript_variant,feature_truncation	5
frameshift_variant,splice_region_variant,feature_elongation	5
frameshift_variant,splice_region_variant,feature_truncation	5
frameshift_variant,stop_lost	5
frameshift_variant,stop_lost,NMD_transcript_variant	5
frameshift_variant,stop_lost,feature_truncation	5
incomplete_terminal_codon_variant,coding_sequence_variant	13
inframe_deletion	9
inframe_deletion,NMD_transcript_variant	9
inframe_deletion,splice_region_variant	9
inframe_insertion	8
inframe_insertion,NMD_transcript_variant	8
initiator_codon_variant	7
initiator_codon_variant,NMD_transcript_variant	7
initiator_codon_variant,coding_sequence_variant,5_prime_UTR_variant,feature_truncation	7
initiator_codon_variant,coding_sequence_variant,5_prime_UTR_variant,intron_variant,feature_truncation	7
initiator_codon_variant,splice_region_variant	7
initiator_codon_variant,splice_region_variant,NMD_transcript_variant	7
intergenic_variant	34
intron_variant	20
intron_variant,NMD_transcript_variant	20
intron_variant,NMD_transcript_variant,feature_elongation	20
intron_variant,NMD_transcript_variant,feature_truncation	20
intron_variant,feature_elongation	20
intron_variant,feature_truncation	20
intron_variant,nc_transcript_variant	20
intron_variant,nc_transcript_variant,feature_elongation	20
intron_variant,nc_transcript_variant,feature_truncation	20
mature_miRNA_variant	17
missense_variant	10
missense_variant,NMD_transcript_variant	10
missense_variant,splice_region_variant	10
missense_variant,splice_region_variant,NMD_transcript_variant	10
nc_transcript_variant	23
nc_transcript_variant,feature_elongation	23
nc_transcript_variant,feature_truncation	23
non_coding_exon_variant,intron_variant,nc_transcript_variant,feature_truncation	20
non_coding_exon_variant,nc_transcript_variant	22
non_coding_exon_variant,nc_transcript_variant,feature_elongation	22
non_coding_exon_variant,nc_transcript_variant,feature_truncation	22
splice_acceptor_variant	3
splice_acceptor_variant,5_prime_UTR_variant,intron_variant,feature_truncation	3
splice_acceptor_variant,NMD_transcript_variant	3
splice_acceptor_variant,coding_sequence_variant,intron_variant,feature_truncation	3
splice_acceptor_variant,feature_truncation	3
splice_acceptor_variant,feature_truncation	3
splice_acceptor_variant,intron_variant,feature_truncation	3
splice_acceptor_variant,intron_variant,nc_transcript_variant,feature_truncation	3
splice_acceptor_variant,nc_transcript_variant	3
splice_acceptor_variant,nc_transcript_variant,feature_elongation	3
splice_acceptor_variant,nc_transcript_variant,feature_truncation	3
splice_acceptor_variant,non_coding_exon_variant,nc_transcript_variant,feature_truncation	3
splice_donor_variant	2
splice_donor_variant,3_prime_UTR_variant,feature_truncation	2
splice_donor_variant,5_prime_UTR_variant,feature_truncation	2
splice_donor_variant,5_prime_UTR_variant,intron_variant,feature_truncation	2
splice_donor_variant,NMD_transcript_variant	2
splice_donor_variant,coding_sequence_variant,feature_truncation	2
splice_donor_variant,coding_sequence_variant,intron_variant,feature_truncation	2
splice_donor_variant,feature_truncation	2
splice_donor_variant,intron_variant,NMD_transcript_variant,feature_truncation	2
splice_donor_variant,intron_variant,feature_truncation	2
splice_donor_variant,intron_variant,nc_transcript_variant,feature_truncation	2
splice_donor_variant,nc_transcript_variant	2
splice_donor_variant,nc_transcript_variant,feature_elongation	2
splice_donor_variant,nc_transcript_variant,feature_truncation	2
splice_donor_variant,non_coding_exon_variant,nc_transcript_variant	2
splice_donor_variant,non_coding_exon_variant,intron_variant,nc_transcript_variant,feature_truncation	2
splice_donor_variant,non_coding_exon_variant,nc_transcript_variant,feature_truncation	2
splice_region_variant,3_prime_UTR_variant	12
splice_region_variant,3_prime_UTR_variant,NMD_transcript_variant	12
splice_region_variant,3_prime_UTR_variant,NMD_transcript_variant,feature_truncation	12
splice_region_variant,3_prime_UTR_variant,feature_truncation	12
splice_region_variant,5_prime_UTR_variant	12
splice_region_variant,5_prime_UTR_variant,NMD_transcript_variant	12
splice_region_variant,5_prime_UTR_variant,NMD_transcript_variant,feature_truncation	12
splice_region_variant,5_prime_UTR_variant,feature_elongation	12
splice_region_variant,5_prime_UTR_variant,feature_truncation	12
splice_region_variant,intron_variant	12
splice_region_variant,intron_variant,NMD_transcript_variant	12
splice_region_variant,intron_variant,NMD_transcript_variant,feature_elongation	12
splice_region_variant,intron_variant,NMD_transcript_variant,feature_truncation	12
splice_region_variant,intron_variant,feature_elongation	12
splice_region_variant,intron_variant,feature_truncation	12
splice_region_variant,intron_variant,nc_transcript_variant	12
splice_region_variant,intron_variant,nc_transcript_variant,feature_elongation	12
splice_region_variant,intron_variant,nc_transcript_variant,feature_truncation	12
splice_region_variant,nc_transcript_variant,feature_elongation	12
splice_region_variant,non_coding_exon_variant,nc_transcript_variant	12
splice_region_variant,non_coding_exon_variant,nc_transcript_variant,feature_elongation	12
splice_region_variant,non_coding_exon_variant,nc_transcript_variant,feature_truncation	12
splice_region_variant,synonymous_variant	12
splice_region_variant,synonymous_variant,NMD_transcript_variant	12
stop_gained	4
stop_gained,NMD_transcript_variant	4
stop_gained,splice_region_variant	4
stop_gained,splice_region_variant,NMD_transcript_variant	4
stop_lost	6
stop_lost,NMD_transcript_variant	6
stop_lost,coding_sequence_variant,3_prime_UTR_variant,feature_truncation	6
stop_lost,coding_sequence_variant,3_prime_UTR_variant,intron_variant,NMD_transcript_variant,feature_truncation	6
stop_lost,coding_sequence_variant,3_prime_UTR_variant,intron_variant,feature_truncation	6
stop_lost,inframe_deletion	6
stop_lost,initiator_codon_variant,coding_sequence_variant,5_prime_UTR_variant,3_prime_UTR_variant,intron_variant,NMD_transcript_variant,feature_truncation	6
stop_lost,initiator_codon_variant,coding_sequence_variant,5_prime_UTR_variant,3_prime_UTR_variant,intron_variant,feature_truncation	6
stop_lost,splice_region_variant	6
stop_lost,splice_region_variant,NMD_transcript_variant	6
stop_retained_variant	15
stop_retained_variant,NMD_transcript_variant	15
synonymous_variant	14
synonymous_variant,NMD_transcript_variant	14
transcript_ablation	1
upstream_gene_variant	24
upstream_gene_variant,feature_elongation	24
